date,game_time,event_id,competition_id,provider_id,provider_name,home_team,away_team,home_abbr,away_abbr,home_moneyline,away_moneyline,home_price_basis,away_price_basis,home_run_line,away_run_line,total_line,over_odds,under_odds,odds_items_count
2025-03-31,19:05,401694961,401694961,58,ESPN BET,Philadelphia Phillies,Colorado Rockies,PHI,COL,-310.0,240.0,close,close,0.0,1.5,8.5,-120.0,100.0,2
2025-03-31,22:40,401694962,401694962,58,ESPN BET,Miami Marlins,New York Mets,MIA,NYM,160.0,-190.0,close,close,0.0,-1.5,8.5,-115.0,-105.0,2
2025-03-31,22:40,401694964,401694964,58,ESPN BET,Cincinnati Reds,Texas Rangers,CIN,TEX,105.0,-125.0,close,close,0.0,-1.5,8.5,-115.0,-105.0,2
2025-03-31,23:05,401694963,401694963,58,ESPN BET,Tampa Bay Rays,Pittsburgh Pirates,TB,PIT,-185.0,155.0,close,close,0.0,1.5,8.5,105.0,-125.0,2
2025-03-31,23:07,401694965,401694965,58,ESPN BET,Toronto Blue Jays,Washington Nationals,TOR,WSH,-180.0,150.0,close,close,0.0,1.5,8.5,-125.0,105.0,2
2025-03-31,23:45,401694966,401694966,58,ESPN BET,St. Louis Cardinals,Los Angeles Angels,STL,LAA,-165.0,140.0,close,close,0.0,1.5,7.5,-120.0,100.0,2
2025-03-31,00:10,401694969,401694969,58,ESPN BET,Houston Astros,San Francisco Giants,HOU,SF,-130.0,110.0,close,close,0.0,1.5,7.5,-125.0,105.0,2
2025-03-31,01:40,401694972,401694972,58,ESPN BET,San Diego Padres,Cleveland Guardians,SD,CLE,-130.0,110.0,close,close,0.0,1.5,7.5,100.0,-120.0,2
2025-03-31,01:40,401694973,401694973,58,ESPN BET,Seattle Mariners,Detroit Tigers,SEA,DET,-115.0,-105.0,close,close,0.0,-1.5,7.5,100.0,-120.0,2
2025-03-31,02:05,401764519,401764519,58,ESPN BET,Athletics,Chicago Cubs,ATH,CHC,125.0,-150.0,close,close,0.0,-1.5,8.5,-110.0,-110.0,2
2025-03-31,02:10,401694970,401694970,58,ESPN BET,Los Angeles Dodgers,Atlanta Braves,LAD,ATL,-220.0,175.0,close,close,0.0,1.5,7.5,-130.0,110.0,2
2025-04-01,22:40,401694975,401694975,58,ESPN BET,Miami Marlins,New York Mets,MIA,NYM,135.0,-160.0,close,close,0.0,-1.5,7.5,-110.0,-110.0,2
2025-04-01,22:40,401694977,401694977,58,ESPN BET,Cincinnati Reds,Texas Rangers,CIN,TEX,130.0,-155.0,close,close,0.0,-1.5,8.5,-125.0,105.0,2
2025-04-01,23:05,401694974,401694974,58,ESPN BET,New York Yankees,Arizona Diamondbacks,NYY,ARI,105.0,-125.0,close,close,0.0,-1.5,8.5,-110.0,-110.0,2
2025-04-01,23:05,401694976,401694976,58,ESPN BET,Tampa Bay Rays,Pittsburgh Pirates,TB,PIT,-175.0,145.0,close,close,0.0,1.5,8.5,-130.0,110.0,2
2025-04-01,23:07,401694978,401694978,58,ESPN BET,Toronto Blue Jays,Washington Nationals,TOR,WSH,-165.0,140.0,close,close,0.0,1.5,8.5,-115.0,-105.0,2
