date,season,possessions,total_line,team,opponent,is_home,team_score,opp_score,spread,team_eFG,team_TO,team_ORB,team_FTR,team_3PR,opp_eFG,opp_TO,opp_ORB,opp_FTR,opp_3PR
2025-11-12,2026,69.98750000000001,,James Madison,Longwood,0,72,82,-1.3,53.44827586206896,15.717092337917482,19.444444444444446,32.758620689655174,41.37931034482759,41.07142857142857,10.001786033220217,35.0,75.0,33.92857142857143
2025-11-12,2026,69.98750000000001,,Longwood,James Madison,1,82,72,1.3,41.07142857142857,10.001786033220217,35.0,75.0,33.92857142857143,53.44827586206896,15.717092337917482,19.444444444444446,32.758620689655174,41.37931034482759
2025-11-12,2026,64.8125,,Manhattan,Utah Tech,0,79,75,5.9,57.407407407407405,18.514946962391516,37.93103448275862,37.03703703703704,35.18518518518518,48.529411764705884,12.343297974927676,42.857142857142854,22.058823529411764,36.76470588235294
2025-11-12,2026,64.8125,,Utah Tech,Manhattan,1,75,79,-5.9,48.529411764705884,12.343297974927676,42.857142857142854,22.058823529411764,36.76470588235294,57.407407407407405,18.514946962391516,37.93103448275862,37.03703703703704,35.18518518518518
2025-11-12,2026,71.07499999999999,,UC San Diego,Fresno St.,0,78,73,-1.4,60.0,25.325360534646503,34.285714285714285,21.666666666666668,61.66666666666667,48.30508474576271,19.697502638058392,35.13513513513514,35.59322033898305,38.983050847457626
2025-11-12,2026,71.07499999999999,,Fresno St.,UC San Diego,1,73,78,1.4,48.30508474576271,19.697502638058392,35.13513513513514,35.59322033898305,38.983050847457626,60.0,25.325360534646503,34.285714285714285,21.666666666666668,61.66666666666667
2025-11-12,2026,72.23750000000001,,Northern Kentucky,East Tennessee St.,0,63,75,6.7,42.06349206349206,24.917805848762757,34.090909090909086,22.22222222222222,47.61904761904761,63.63636363636363,24.917805848762757,13.043478260869565,61.36363636363637,20.454545454545457
2025-11-12,2026,72.23750000000001,,East Tennessee St.,Northern Kentucky,1,75,63,-6.7,63.63636363636363,24.917805848762757,13.043478260869565,61.36363636363637,20.454545454545457,42.06349206349206,24.917805848762757,34.090909090909086,22.22222222222222,47.61904761904761
2025-11-12,2026,66.8625,93.0,Little Rock,Marquette,0,49,89,18.4,40.38461538461539,29.912133108992332,31.428571428571427,25.0,30.76923076923077,60.0,13.460459899046551,44.44444444444444,27.692307692307693,35.38461538461539
2025-11-12,2026,66.8625,93.0,Marquette,Little Rock,1,89,49,-18.4,60.0,13.460459899046551,44.44444444444444,27.692307692307693,35.38461538461539,40.38461538461539,29.912133108992332,31.428571428571427,25.0,30.76923076923077
2025-11-12,2026,71.0375,93.0,Weber St.,Utah St.,0,73,83,22.5,45.614035087719294,18.300193559739576,33.33333333333333,49.122807017543856,45.614035087719294,47.65625,8.446243181418266,30.76923076923077,45.3125,35.9375
2025-11-12,2026,71.0375,93.0,Utah St.,Weber St.,1,83,73,-22.5,47.65625,8.446243181418266,30.76923076923077,45.3125,35.9375,45.614035087719294,18.300193559739576,33.33333333333333,49.122807017543856,45.614035087719294
2025-11-12,2026,68.525,,Portland St.,San Francisco,0,70,80,9.1,46.21212121212121,18.971178402043048,34.883720930232556,19.696969696969695,40.909090909090914,52.54237288135594,16.052535570959503,40.54054054054054,42.3728813559322,42.3728813559322
2025-11-12,2026,68.525,,San Francisco,Portland St.,1,80,70,-9.1,52.54237288135594,16.052535570959503,40.54054054054054,42.3728813559322,42.3728813559322,46.21212121212121,18.971178402043048,34.883720930232556,19.696969696969695,40.909090909090914
2025-11-12,2026,78.725,,Southern Illinois,Nevada,0,81,86,9.8,46.96969696969697,10.16195617656399,22.727272727272727,43.93939393939394,25.757575757575758,39.743589743589745,5.080978088281995,31.57894736842105,42.30769230769231,42.30769230769231
2025-11-12,2026,78.725,,Nevada,Southern Illinois,1,86,81,-9.8,39.743589743589745,5.080978088281995,31.57894736842105,42.30769230769231,42.30769230769231,46.96969696969697,10.16195617656399,22.727272727272727,43.93939393939394,25.757575757575758
2025-11-12,2026,75.8625,,Purdue Fort Wayne,Western Michigan,0,71,83,4.3,40.97222222222222,11.863568956994563,28.57142857142857,22.22222222222222,52.77777777777778,49.31506849315068,19.772614928324273,42.857142857142854,20.54794520547945,39.726027397260275
2025-11-12,2026,75.8625,,Western Michigan,Purdue Fort Wayne,1,83,71,-4.3,49.31506849315068,19.772614928324273,42.857142857142854,20.54794520547945,39.726027397260275,40.97222222222222,11.863568956994563,28.57142857142857,22.22222222222222,52.77777777777778
2025-11-12,2026,61.7875,,Minnesota,Missouri,0,60,83,4.5,47.22222222222222,17.802953671859196,38.88888888888889,31.48148148148148,42.592592592592595,70.40816326530613,14.566053004248431,13.043478260869565,40.816326530612244,44.89795918367347
2025-11-12,2026,61.7875,,Missouri,Minnesota,1,83,60,-4.5,70.40816326530613,14.566053004248431,13.043478260869565,40.816326530612244,44.89795918367347,47.22222222222222,17.802953671859196,38.88888888888889,31.48148148148148,42.592592592592595
2025-11-12,2026,61.574999999999996,,Mercyhurst,Canisius,0,55,58,0.5,46.22641509433962,17.864393016646368,20.689655172413794,15.09433962264151,45.28301886792453,52.4390243902439,21.112464474218434,19.230769230769234,63.41463414634146,31.70731707317073
2025-11-12,2026,61.574999999999996,,Canisius,Mercyhurst,1,58,55,-0.5,52.4390243902439,21.112464474218434,19.230769230769234,63.41463414634146,31.70731707317073,46.22641509433962,17.864393016646368,20.689655172413794,15.09433962264151,45.28301886792453
2025-11-12,2026,76.05000000000001,101.0,North Florida,Tennessee,0,66,99,38.3,46.15384615384615,22.353714661406965,27.27272727272727,18.461538461538463,53.84615384615385,57.74647887323944,18.40894148586456,62.5,33.80281690140845,38.028169014084504
2025-11-12,2026,76.05000000000001,101.0,Tennessee,North Florida,1,99,66,-38.3,57.74647887323944,18.40894148586456,62.5,33.80281690140845,38.028169014084504,46.15384615384615,22.353714661406965,27.27272727272727,18.461538461538463,53.84615384615385
2025-11-12,2026,63.975,,Brown,Boston University,0,77,90,0.2,54.71698113207547,14.06799531066823,29.03225806451613,43.39622641509434,45.28301886792453,71.56862745098039,20.32043767096522,40.909090909090914,37.254901960784316,49.01960784313725
2025-11-12,2026,63.975,,Boston University,Brown,1,90,77,-0.2,71.56862745098039,20.32043767096522,40.909090909090914,37.254901960784316,49.01960784313725,54.71698113207547,14.06799531066823,29.03225806451613,43.39622641509434,45.28301886792453
2025-11-12,2026,70.625,,South Dakota St.,Oregon,0,69,83,13.8,50.847457627118644,15.575221238938052,19.444444444444446,23.728813559322035,42.3728813559322,57.25806451612904,14.15929203539823,23.52941176470588,25.806451612903224,64.51612903225806
2025-11-12,2026,70.625,,Oregon,South Dakota St.,1,83,69,-13.8,57.25806451612904,14.15929203539823,23.52941176470588,25.806451612903224,64.51612903225806,50.847457627118644,15.575221238938052,19.444444444444446,23.728813559322035,42.3728813559322
2025-11-12,2026,73.1625,96.0,Fairleigh Dickinson,Texas,0,58,93,32.3,37.3134328358209,12.301383905689391,20.833333333333336,19.402985074626866,43.28358208955223,56.92307692307692,12.301383905689391,39.02439024390244,52.307692307692314,35.38461538461539
2025-11-12,2026,73.1625,96.0,Texas,Fairleigh Dickinson,1,93,58,-32.3,56.92307692307692,12.301383905689391,39.02439024390244,52.307692307692314,35.38461538461539,37.3134328358209,12.301383905689391,20.833333333333336,19.402985074626866,43.28358208955223
2025-11-12,2026,66.925,90.0,Binghamton,Georgetown,0,70,83,28.5,47.95918367346938,19.42472917444901,20.689655172413794,51.02040816326531,42.857142857142854,49.25373134328358,5.976839745984311,40.54054054054054,31.343283582089555,28.35820895522388
